日付,時間,役,順位,名前,得票数
04/21,2,普通の子,1,琴葉,1658
04/21,2,普通の子,2,可奈,648
04/21,2,普通の子,3,未来,283
04/21,2,普通の子,4,美奈子,167
04/21,2,普通の子,5,紗代子,151
04/21,2,普通の子,6,ひなた,100
04/21,2,普通の子,7,百合子,80
04/21,2,普通の子,8,杏奈,61
04/21,2,普通の子,9,恵美,59
04/21,2,普通の子,10,星梨花,52
04/21,3,普通の子,1,琴葉,1679
04/21,3,普通の子,2,可奈,664
04/21,3,普通の子,3,未来,285
04/21,3,普通の子,4,美奈子,167
04/21,3,普通の子,5,紗代子,153
04/21,3,普通の子,6,ひなた,103
04/21,3,普通の子,7,百合子,80
04/21,3,普通の子,8,杏奈,63
04/21,3,普通の子,9,恵美,59
04/21,3,普通の子,10,星梨花,53
04/21,4,普通の子,1,琴葉,1686
04/21,4,普通の子,2,可奈,669
04/21,4,普通の子,3,未来,288
04/21,4,普通の子,4,美奈子,168
04/21,4,普通の子,5,紗代子,153
04/21,4,普通の子,6,ひなた,103
04/21,4,普通の子,7,百合子,80
04/21,4,普通の子,8,杏奈,63
04/21,4,普通の子,9,恵美,60
04/21,4,普通の子,10,星梨花,53
04/21,5,普通の子,1,琴葉,1695
04/21,5,普通の子,2,可奈,675
04/21,5,普通の子,3,未来,289
04/21,5,普通の子,4,美奈子,168
04/21,5,普通の子,5,紗代子,153
04/21,5,普通の子,6,ひなた,103
04/21,5,普通の子,7,百合子,80
04/21,5,普通の子,8,杏奈,63
04/21,5,普通の子,9,恵美,61
04/21,5,普通の子,10,星梨花,53
04/21,6,普通の子,1,琴葉,1703
04/21,6,普通の子,2,可奈,684
04/21,6,普通の子,3,未来,291
04/21,6,普通の子,4,美奈子,168
04/21,6,普通の子,5,紗代子,154
04/21,6,普通の子,6,ひなた,103
04/21,6,普通の子,7,百合子,80
04/21,6,普通の子,8,杏奈,63
04/21,6,普通の子,9,恵美,61
04/21,6,普通の子,10,星梨花,53
04/21,7,普通の子,1,琴葉,1731
04/21,7,普通の子,2,可奈,689
04/21,7,普通の子,3,未来,296
04/21,7,普通の子,4,美奈子,170
04/21,7,普通の子,5,紗代子,157
04/21,7,普通の子,6,ひなた,103
04/21,7,普通の子,7,百合子,81
04/21,7,普通の子,8,杏奈,65
04/21,7,普通の子,9,恵美,61
04/21,7,普通の子,10,星梨花,53
04/21,8,普通の子,1,琴葉,1763
04/21,8,普通の子,2,可奈,696
04/21,8,普通の子,3,未来,302
04/21,8,普通の子,4,美奈子,170
04/21,8,普通の子,5,紗代子,158
04/21,8,普通の子,6,ひなた,103
04/21,8,普通の子,7,百合子,83
04/21,8,普通の子,8,恵美,72
04/21,8,普通の子,9,杏奈,66
04/21,8,普通の子,10,星梨花,53
04/21,9,普通の子,1,琴葉,1790
04/21,9,普通の子,2,可奈,702
04/21,9,普通の子,3,未来,304
04/21,9,普通の子,4,美奈子,172
04/21,9,普通の子,5,紗代子,159
04/21,9,普通の子,6,ひなた,109
04/21,9,普通の子,7,百合子,88
04/21,9,普通の子,8,恵美,72
04/21,9,普通の子,9,杏奈,66
04/21,9,普通の子,10,星梨花,54
04/21,10,普通の子,1,琴葉,1800
